YEAR,DELIVERY_COMPANY,TOTAL_ORDERS,TOTAL_SALES_RM,TOTAL_DELIVERY_FEES_RM,AVERAGE_DELIVERY_FEE_RM,OVERALL_TOTAL_ORDERS
2016,"EasyDrop Hub",9,1032.79,75.40,8.10,387
2016,"FlashRider MY",8,1005.27,61.60,8.10,370
2016,"LajuFood Rider",6,592.58,42.60,8.10,388
2016,"Maju Dispatch",4,559.08,34.40,8.10,289
2016,"GoSend City",2,304.30,19.40,8.10,349
2016,"TapauRunner",1,222.50,8.10,8.10,367
2016,"PandaMove Express",1,94.90,9.70,8.10,279
2017,"GoSend City",16,1702.04,114.10,7.48,349
2017,"Maju Dispatch",12,1190.23,89.00,7.48,289
2017,"PandaMove Express",11,1191.40,86.70,7.48,279
2017,"TapauRunner",11,1277.07,77.60,7.48,367
2017,"LajuFood Rider",10,1188.02,67.40,7.48,388
2017,"RotiRoad Express",8,1000.40,64.40,7.48,226
2017,"Halo Courier Eats",8,1420.07,69.00,7.48,297
2017,"FlashRider MY",7,812.82,50.60,7.48,370
2017,"EasyDrop Hub",5,505.80,38.80,7.48,387
2017,"SwiftDrop KL",1,112.40,8.20,7.48,351
2018,"LajuFood Rider",21,2906.59,150.80,6.77,388
2018,"FlashRider MY",21,2300.74,138.40,6.77,370
2018,"Maju Dispatch",18,1969.99,119.20,6.77,289
2018,"PandaMove Express",18,1847.95,123.10,6.77,279
2018,"Halo Courier Eats",15,1903.54,118.00,6.77,297
2018,"SwiftDrop KL",14,1739.40,92.60,6.77,351
2018,"GoSend City",13,1401.91,83.20,6.77,349
2018,"EasyDrop Hub",12,1236.32,77.80,6.77,387
2018,"TapauRunner",11,1459.23,70.70,6.77,367
2018,"RotiRoad Express",6,674.68,34.80,6.77,226
2019,"PandaMove Express",27,2600.65,197.20,7.30,279
2019,"EasyDrop Hub",25,2810.53,180.20,7.30,387
2019,"GoSend City",24,2676.22,203.90,7.30,349
2019,"Halo Courier Eats",24,2769.77,169.20,7.30,297
2019,"Maju Dispatch",23,2361.06,157.50,7.30,289
2019,"TapauRunner",20,3015.32,147.30,7.30,367
2019,"LajuFood Rider",20,2649.48,142.80,7.30,388
2019,"FlashRider MY",19,1686.21,118.00,7.30,370
2019,"SwiftDrop KL",14,2103.58,108.20,7.30,351
2019,"RotiRoad Express",11,1713.58,86.20,7.30,226
2020,"LajuFood Rider",44,5276.39,333.60,7.43,388
2020,"SwiftDrop KL",34,4040.25,264.20,7.43,351
2020,"GoSend City",31,3608.95,241.00,7.43,349
2020,"Halo Courier Eats",30,4029.28,226.10,7.43,297
2020,"Maju Dispatch",27,3263.33,198.70,7.43,289
2020,"EasyDrop Hub",27,2799.83,184.80,7.43,387
2020,"FlashRider MY",25,3011.51,178.80,7.43,370
2020,"PandaMove Express",21,2172.67,144.70,7.43,279
2020,"RotiRoad Express",17,2201.84,126.00,7.43,226
2020,"TapauRunner",16,1956.70,123.20,7.43,367
2021,"Maju Dispatch",46,5302.60,333.30,7.11,289
2021,"EasyDrop Hub",40,4218.82,283.80,7.11,387
2021,"LajuFood Rider",40,4653.43,257.80,7.11,388
2021,"SwiftDrop KL",40,4743.35,310.20,7.11,351
2021,"TapauRunner",37,5243.39,257.00,7.11,367
2021,"GoSend City",32,3008.95,241.70,7.11,349
2021,"Halo Courier Eats",26,3057.72,206.00,7.11,297
2021,"RotiRoad Express",25,3795.72,171.60,7.11,226
2021,"FlashRider MY",21,2399.19,116.80,7.11,370
2021,"PandaMove Express",19,2098.82,140.40,7.11,279
2022,"SwiftDrop KL",58,6644.08,437.60,7.14,351
2022,"EasyDrop Hub",53,5278.48,359.20,7.14,387
2022,"LajuFood Rider",52,6637.20,370.80,7.14,388
2022,"TapauRunner",41,5886.22,281.90,7.14,367
2022,"FlashRider MY",41,5282.22,275.80,7.14,370
2022,"PandaMove Express",35,3636.27,254.20,7.14,279
2022,"Halo Courier Eats",33,4014.37,238.00,7.14,297
2022,"RotiRoad Express",28,4078.65,199.80,7.14,226
2022,"GoSend City",24,2566.53,192.10,7.14,349
2022,"Maju Dispatch",23,2623.82,160.20,7.14,289
2023,"EasyDrop Hub",61,6564.16,397.00,7.05,387
2023,"FlashRider MY",61,6762.74,414.60,7.05,370
2023,"LajuFood Rider",53,6688.46,394.40,7.05,388
2023,"TapauRunner",53,6139.90,343.50,7.05,367
2023,"SwiftDrop KL",46,6449.95,385.00,7.05,351
2023,"Halo Courier Eats",44,5630.64,328.20,7.05,297
2023,"GoSend City",42,4722.11,301.50,7.05,349
2023,"RotiRoad Express",31,3938.50,209.80,7.05,226
2023,"PandaMove Express",28,3018.16,209.60,7.05,279
2023,"Maju Dispatch",22,2163.27,124.80,7.05,289
2024,"EasyDrop Hub",70,7528.76,449.20,7.09,387
2024,"TapauRunner",69,8419.73,436.70,7.09,367
2024,"FlashRider MY",66,7122.54,443.80,7.09,370
2024,"LajuFood Rider",60,7293.17,434.80,7.09,388
2024,"SwiftDrop KL",59,7914.66,480.80,7.09,351
2024,"GoSend City",50,5798.61,379.00,7.09,349
2024,"Halo Courier Eats",42,5178.49,332.60,7.09,297
2024,"PandaMove Express",36,3820.69,278.50,7.09,279
2024,"RotiRoad Express",31,4507.67,209.20,7.09,226
2024,"Maju Dispatch",21,2082.90,127.20,7.09,289
2025,"GoSend City",74,7897.16,562.30,7.11,349
2025,"TapauRunner",69,9002.22,501.00,7.11,367
