VOUCHER_CODE,VOUCHER_TYPE,TOTAL_ORDERS,REVENUE_RM,TOTAL_DISCOUNT_RM,AVERAGE_DISCOUNT_RM,TOP_10,BUBBLE_SIZE
"BREW02","PERCENT",42,5311.39,884.01,5.05,1,336
"WEEKEND06","PERCENT",43,4904.53,814.17,4.79,1,344
"DEEPA02","PERCENT",43,4608.48,762.32,4.89,1,344
"RAYA08","PERCENT",41,4457.77,733.83,4.89,1,328
"YEAR06","PERCENT",40,4289.84,705.06,4.58,1,320
"GROUP04","PERCENT",41,4060.11,663.99,4.64,1,328
"XMAS04","PERCENT",40,3992.55,658.05,4.95,1,320
"CNY08","PERCENT",42,3841.55,626.85,4.54,1,336
"DEEPA07","PERCENT",34,3716.51,613.89,4.32,1,272
"BREW07","PERCENT",36,3671.20,600.20,4.41,1,288
"RAYA03","PERCENT",36,3558.63,584.37,4.12,0,288
"CNY03","PERCENT",33,3373.10,555.00,4.55,0,264
"MERDEKA05","PERCENT",36,2469.68,394.32,4.59,0,288
"YEAR07","FIXED",43,4175.90,344.00,2.36,0,344
"YEAR01","PERCENT",34,2091.92,340.28,4.60,0,272
"DEEPA03","FIXED",41,4586.00,328.00,2.25,0,328
"BREW03","FIXED",41,4267.10,328.00,2.33,0,328
"WEEKEND07","FIXED",39,3731.40,312.00,2.36,0,312
"LUNCH01","FIXED",41,2744.80,312.00,3.06,0,328
"XMAS05","FIXED",44,3278.80,312.00,2.94,0,352
"WEEKEND03","FREE_DELIVERY",42,5556.40,311.40,1.65,0,336
"LUNCH05","PERCENT",35,1942.99,310.41,4.03,0,280
"YEAR03","FREE_DELIVERY",41,5206.20,306.80,1.86,0,328
"LUNCH07","FREE_DELIVERY",42,5607.40,305.70,1.66,0,336
"MERDEKA06","FIXED",38,3711.30,304.00,2.58,0,304
"YEAR02","FIXED",36,4061.00,288.00,2.40,0,288
"RAYA04","FIXED",35,4453.50,280.00,1.84,0,280
"WEEKEND02","FIXED",35,3464.70,280.00,2.55,0,280
"MERDEKA01","FIXED",43,2563.00,280.00,2.98,0,344
"GROUP06","FREE_DELIVERY",39,3706.50,273.70,2.38,0,312
"LUNCH06","FIXED",34,4046.70,272.00,2.25,0,272
"GROUP02","PERCENT",18,2539.68,267.62,3.57,0,144
"CNY06","PERCENT",18,2539.68,266.02,3.45,0,144
"BREW08","FIXED",34,3778.70,264.00,2.02,0,272
"DEEPA08","FIXED",35,3830.90,264.00,1.98,0,280
"YEAR08","FREE_DELIVERY",36,4388.50,252.50,1.80,0,288
"BREW04","FREE_DELIVERY",35,4018.30,245.40,1.95,0,280
"GROUP07","PERCENT",20,2317.11,238.69,3.02,0,160
"DEEPA04","FREE_DELIVERY",34,4059.60,238.60,1.86,0,272
"MERDEKA02","FREE_DELIVERY",35,3728.20,233.10,2.35,0,280
"LUNCH02","FREE_DELIVERY",35,3733.10,233.00,2.10,0,280
"XMAS07","PERCENT",18,2151.46,226.44,3.28,0,144
"GROUP05","FIXED",40,2441.30,224.00,2.41,0,320
"MERDEKA08","PERCENT",17,2077.22,219.08,3.37,0,136
"XMAS06","FREE_DELIVERY",34,3744.90,216.20,2.02,0,272
"WEEKEND08","FREE_DELIVERY",33,3855.90,215.90,1.85,0,264
"MERDEKA03","PERCENT",17,2064.20,215.30,3.21,0,136
"DEEPA06","FIXED",42,3940.70,210.00,1.78,0,336
"RAYA02","FIXED",42,4032.70,210.00,1.74,0,336
"CNY01","PERCENT",18,1962.02,209.38,3.61,0,144
"CNY02","FIXED",41,4559.30,205.00,1.60,0,328
"RAYA06","PERCENT",14,1906.98,200.32,3.45,0,112
"WEEKEND04","PERCENT",16,1824.80,192.40,3.21,0,128
"YEAR04","PERCENT",16,1795.32,189.28,3.51,0,128
"RAYA01","PERCENT",19,1768.42,186.68,3.11,0,152
"RAYA07","FIXED",37,5224.20,185.00,1.06,0,296
"DEEPA05","PERCENT",20,1712.02,183.68,3.22,0,160
"GROUP03","FIXED",36,4512.80,180.00,1.17,0,288
"XMAS03","FIXED",34,4363.70,170.00,1.13,0,272
"DEEPA01","FIXED",37,2843.80,170.00,1.70,0,296
"WEEKEND05","FIXED",34,3019.60,165.00,1.74,0,272
"CNY07","FIXED",33,3924.30,165.00,1.26,0,264
"BREW01","FIXED",35,2720.00,165.00,1.81,0,280
"BREW05","PERCENT",17,1362.98,149.02,3.55,0,136
"LUNCH08","PERCENT",13,1280.54,134.56,3.06,0,104
"RAYA05","FREE_DELIVERY",44,2904.00,100.70,1.02,0,352
"XMAS01","FREE_DELIVERY",40,2843.20,89.90,0.97,0,320
"CNY05","FREE_DELIVERY",42,2829.00,86.40,0.93,0,336
"GROUP01","FREE_DELIVERY",43,3167.80,80.90,0.80,0,344
"XMAS08","FIXED",43,4878.50,75.00,0.48,0,344
"LUNCH04","FIXED",41,4918.30,70.00,0.45,0,328
"GROUP08","FIXED",39,4618.00,60.00,0.39,0,312
"MERDEKA04","FIXED",41,4618.70,55.00,0.35,0,328
"MERDEKA07","FREE_DELIVERY",40,5296.10,0.00,0.00,0,320
"CNY04","FIXED",35,4043.10,0.00,0.00,0,280
"BREW06","FIXED",44,5376.40,0.00,0.00,0,352
"XMAS02","PERCENT",17,2646.60,0.00,0.00,0,136
"YEAR05","FIXED",38,3208.20,0.00,0.00,0,304
"WEEKEND01","PERCENT",37,2973.20,0.00,0.00,0,296
"LUNCH03","PERCENT",17,2384.00,0.00,0.00,0,136
