pv_quarter,company_name,day_flag,order_count,fee_revenue,avg_fee
2016-Q1,EasyDrop Hub,WEEKDAY,2,18,9
2016-Q1,FlashRider MY,WEEKDAY,3,24.6,8.2
2016-Q1,PandaMove Express,WEEKDAY,1,9.7,9.7
2016-Q2,EasyDrop Hub,WEEKDAY,1,7.4,7.4
2016-Q2,EasyDrop Hub,WEEKEND,1,9.6,9.6
2016-Q2,FlashRider MY,WEEKDAY,1,7.8,7.8
2016-Q2,LajuFood Rider,WEEKDAY,1,7.6,7.6
2016-Q2,Maju Dispatch,WEEKDAY,2,17.8,8.9
2016-Q2,N/A - Pickup Order,WEEKEND,1,0,0
2016-Q2,TapauRunner,WEEKDAY,1,8.1,8.1
2016-Q3,EasyDrop Hub,WEEKDAY,2,16.2,8.1
2016-Q3,FlashRider MY,WEEKDAY,2,14.6,7.3
2016-Q3,LajuFood Rider,WEEKDAY,1,7.6,7.6
2016-Q3,LajuFood Rider,WEEKEND,2,13.2,6.6
2016-Q3,Maju Dispatch,WEEKDAY,2,16.6,8.3
2016-Q3,N/A - Pickup Order,WEEKDAY,1,0,0
2016-Q4,EasyDrop Hub,WEEKDAY,2,16.8,8.4
2016-Q4,EasyDrop Hub,WEEKEND,1,7.4,7.4
2016-Q4,FlashRider MY,WEEKDAY,1,6.8,6.8
2016-Q4,FlashRider MY,WEEKEND,1,7.8,7.8
2016-Q4,GoSend City,WEEKEND,2,19.4,9.7
2016-Q4,LajuFood Rider,WEEKDAY,2,14.2,7.1
2016-Q4,N/A - Pickup Order,WEEKDAY,4,0,0
2016-Q4,N/A - Pickup Order,WEEKEND,2,0,0
2017-Q1,FlashRider MY,WEEKEND,1,5.8,5.8
2017-Q1,GoSend City,WEEKDAY,2,18.2,9.1
2017-Q1,GoSend City,WEEKEND,1,0,0
2017-Q1,LajuFood Rider,WEEKEND,1,7.6,7.6
2017-Q1,Maju Dispatch,WEEKEND,3,23.7,7.9
2017-Q1,N/A - Pickup Order,WEEKDAY,5,0,0
2017-Q1,PandaMove Express,WEEKDAY,1,9.7,9.7
