item_name,item_category,meal_tier,deal_flag,item_type,qty_sold,revenue,avg_unit_price,cat_rank,price_quartile
"Gelato Matcha Frappe",Brewed Tea,PREMIUM,REGULAR,DRINK,224,4233.6,18.9,1,1
"Spice Mango Lassi",Brewed Tea,PREMIUM,REGULAR,DRINK,245,3675,15,2,4
"Kimchi Korean Grape Fizz",Brewed Tea,PREMIUM,REGULAR,DRINK,185,3219,17.4,3,1
"Quick Lychee Fizz",Brewed Tea,PREMIUM,REGULAR,DRINK,172,2992.8,17.4,4,1
"Leaf Mango Lassi",Brewed Tea,PREMIUM,REGULAR,DRINK,179,2971.4,16.6,5,2
"Wok Soy Bean Milk",Brewed Tea,PREMIUM,REGULAR,DRINK,146,2540.4,17.4,6,2
"Warisan Sirap Bandung Float",Brewed Tea,PREMIUM,REGULAR,DRINK,163,2445,15,7,4
"Mori Yuzu Soda",Brewed Tea,PREMIUM,REGULAR,DRINK,159,2385,15,8,4
"Basil Lemongrass Cooler",Brewed Tea,PREMIUM,REGULAR,DRINK,136,2366.4,17.4,9,1
"Kampung Sirap Bandung Float",Brewed Tea,PREMIUM,REGULAR,DRINK,140,2324,16.6,10,2
"Smoke Sparkling Apple Soda",Brewed Tea,PREMIUM,REGULAR,DRINK,131,2174.6,16.6,11,3
"Boba Lemon Mint Soda",Brewed Tea,PREMIUM,REGULAR,DRINK,128,2112,16.5,12,3
"Tokyo Yuzu Soda",Brewed Tea,PREMIUM,REGULAR,DRINK,127,2108.2,16.6,13,2
"Urban Sparkling Apple Soda",Brewed Tea,PREMIUM,REGULAR,DRINK,118,1770,15,14,4
"Sweet Matcha Frappe",Brewed Tea,PREMIUM,REGULAR,DRINK,98,1695.4,17.3,15,2
"Seoul Korean Grape Fizz",Brewed Tea,PREMIUM,REGULAR,DRINK,101,1595.8,15.8,16,3
"Tarik Lemon Mint Soda",Brewed Tea,PREMIUM,REGULAR,DRINK,84,1520.4,18.1,17,1
"Siam Lemongrass Cooler",Brewed Tea,PREMIUM,REGULAR,DRINK,83,1311.4,15.8,18,4
"Sprint Lychee Fizz",Brewed Tea,PREMIUM,REGULAR,DRINK,81,1279.8,15.8,19,3
"DimSum Soy Bean Milk",Brewed Tea,PREMIUM,REGULAR,DRINK,67,1058.6,15.8,20,3
"Quick Loaded Cheese Fries",Burgers and Wraps,PREMIUM,REGULAR,FOOD,317,6213.2,19.6,1,3
"Urban Smoked BBQ Lamb",Burgers and Wraps,PREMIUM,REGULAR,FOOD,264,5913.6,22.4,2,1
"Smoke Smoked BBQ Lamb",Burgers and Wraps,PREMIUM,REGULAR,FOOD,219,4555.2,20.8,3,2
"Sprint Loaded Cheese Fries",Burgers and Wraps,PREMIUM,REGULAR,FOOD,150,2700,18,4,4
"Spice Maggi Goreng Mamak",Chicken Specials,PREMIUM,REGULAR,FOOD,168,2620.8,15.6,1,2
"Kimchi Ramyeon Cheese Pot",Chicken Specials,PREMIUM,REGULAR,FOOD,133,2234.4,16.8,2,1
"Gelato Chocolate Lava Cup",Chicken Specials,PREMIUM,REGULAR,FOOD,139,1918.2,13.8,3,4
"Warisan Mee Rebus Johor",Chicken Specials,PREMIUM,REGULAR,FOOD,119,1856.4,15.6,4,2
"Quick Spicy Chicken Wrap",Chicken Specials,PREMIUM,REGULAR,FOOD,124,1835.2,14.8,5,3
"Boba Mushroom Toastie",Chicken Specials,PREMIUM,REGULAR,FOOD,46,671.6,14.6,6,3
"Sprint Spicy Chicken Wrap",Chicken Specials,PREMIUM,REGULAR,FOOD,33,541.2,16.4,7,1
"Sweet Chocolate Lava Cup",Chicken Specials,PREMIUM,REGULAR,FOOD,35,539,15.4,8,2
"Kampung Mee Rebus Johor",Chicken Specials,PREMIUM,REGULAR,FOOD,33,462,14,9,4
"Leaf Maggi Goreng Mamak",Chicken Specials,PREMIUM,REGULAR,FOOD,31,434,14,10,3
"Seoul Ramyeon Cheese Pot",Chicken Specials,PREMIUM,REGULAR,FOOD,20,368,18.4,11,1
"Tarik Mushroom Toastie",Chicken Specials,PREMIUM,REGULAR,FOOD,21,273,13,12,4
"Gelato Croffle Berry Cream",Desserts,PREMIUM,REGULAR,FOOD,133,2447.2,18.4,1,1
"Sweet Croffle Berry Cream",Desserts,PREMIUM,REGULAR,FOOD,64,1075.2,16.8,2,2
"Gelato Vanilla Cream Puff",Desserts,BUDGET,REGULAR,FOOD,123,984,8,3,4
"Sweet Vanilla Cream Puff",Desserts,BUDGET,REGULAR,FOOD,101,969.6,9.6,4,3
"Basil Thai Milk Tea",Hot Coffee,PREMIUM,ON DEAL,DRINK,275,4290,15.6,1,2
"Tokyo Matcha Latte",Hot Coffee,PREMIUM,ON DEAL,DRINK,285,4218,14.8,2,3
"Kimchi Citron Honey Tea",Hot Coffee,PREMIUM,ON DEAL,DRINK,255,3978,15.6,3,2
"Wok Chrysanthemum Tea",Hot Coffee,PREMIUM,ON DEAL,DRINK,232,3619.2,15.6,4,2
"Warisan Teh Ais Limau",Hot Coffee,PREMIUM,ON DEAL,DRINK,203,3329.2,16.4,5,2
"Leaf Teh Tarik Kaw",Hot Coffee,PREMIUM,ON DEAL,DRINK,218,3226.4,14.8,6,4
"Spice Teh Tarik Kaw",Hot Coffee,PREMIUM,ON DEAL,DRINK,192,3148.8,16.4,7,1
"Gelato Strawberry Milk",Hot Coffee,PREMIUM,ON DEAL,DRINK,177,3026.7,17.1,8,1
"Smoke Mocha Latte",Hot Coffee,PREMIUM,ON DEAL,DRINK,170,2516,14.8,9,3
"Kampung Teh Ais Limau",Hot Coffee,PREMIUM,ON DEAL,DRINK,157,2323.6,14.8,10,3
"Boba Brown Sugar Boba",Hot Coffee,PREMIUM,ON DEAL,DRINK,129,2309.1,17.9,11,1
"Tarik Brown Sugar Boba",Hot Coffee,PREMIUM,ON DEAL,DRINK,138,2249.4,16.3,12,2
"Quick Iced Cola Float",Hot Coffee,PREMIUM,ON DEAL,DRINK,128,1996.8,15.6,13,3
"Sweet Strawberry Milk",Hot Coffee,PREMIUM,ON DEAL,DRINK,113,1751.5,15.5,14,3
"Urban Mocha Latte",Hot Coffee,PREMIUM,ON DEAL,DRINK,105,1722,16.4,15,1
"Siam Thai Milk Tea",Hot Coffee,PREMIUM,ON DEAL,DRINK,110,1540,14,16,4
"Mori Matcha Latte",Hot Coffee,PREMIUM,ON DEAL,DRINK,91,1492.4,16.4,17,1
"Seoul Citron Honey Tea",Hot Coffee,PREMIUM,ON DEAL,DRINK,104,1456,14,18,4
"Sprint Iced Cola Float",Hot Coffee,PREMIUM,ON DEAL,DRINK,86,1204,14,19,4
"DimSum Chrysanthemum Tea",Hot Coffee,PREMIUM,ON DEAL,DRINK,82,1148,14,20,4
"Basil Pad Kra Pao Chicken",Noodles,PREMIUM,ON DEAL,FOOD,231,3465,15,1,3
"Urban Creamy Mushroom Pasta",Noodles,PREMIUM,ON DEAL,FOOD,137,2438.6,17.8,2,1
"Siam Pad Kra Pao Chicken",Noodles,PREMIUM,ON DEAL,FOOD,128,2124.8,16.6,3,2
"Wok Kung Pao Chicken Bowl",Noodles,PREMIUM,REGULAR,FOOD,133,1968.4,14.8,4,4
"Basil Pad Thai Prawn",Noodles,PREMIUM,REGULAR,FOOD,124,1835.2,14.8,5,4
"Wok Ginger Scallion Chicken Rice",Noodles,PREMIUM,ON DEAL,FOOD,122,1830,15,6,4
"Smoke Buttermilk Rice Bowl",Noodles,PREMIUM,REGULAR,FOOD,105,1680,16,7,3
"Tokyo Shoyu Ramen",Noodles,PREMIUM,REGULAR,FOOD,104,1664,16,8,3
"Smoke Creamy Mushroom Pasta",Noodles,PREMIUM,ON DEAL,FOOD,50,970,19.4,9,1
"Mori Shoyu Ramen",Noodles,PREMIUM,REGULAR,FOOD,54,950.4,17.6,10,1
"DimSum Ginger Scallion Chicken Rice",Noodles,PREMIUM,ON DEAL,FOOD,47,780.2,16.6,11,2
"Urban Buttermilk Rice Bowl",Noodles,PREMIUM,REGULAR,FOOD,43,756.8,17.6,12,1
"Siam Pad Thai Prawn",Noodles,PREMIUM,REGULAR,FOOD,46,754.4,16.4,13,2
"DimSum Kung Pao Chicken Bowl",Noodles,PREMIUM,REGULAR,FOOD,25,410,16.4,14,2
"Leaf Masala Lime Soda",Refreshing Drinks,PREMIUM,REGULAR,DRINK,268,4931.2,18.4,1,1
"Smoke Iced Chocolate",Refreshing Drinks,PREMIUM,REGULAR,DRINK,240,4416,18.4,2,1
"Gelato Peach Tea Sparkler",Refreshing Drinks,PREMIUM,REGULAR,DRINK,243,4252.5,17.5,3,2
"Spice Masala Lime Soda",Refreshing Drinks,PREMIUM,REGULAR,DRINK,248,4166.4,16.8,4,3
"Basil Coconut Shake",Refreshing Drinks,PREMIUM,REGULAR,DRINK,227,3632,16,5,3
"Kampung Air Jagung Madu",Refreshing Drinks,PREMIUM,REGULAR,DRINK,182,3348.8,18.4,6,1
"Kimchi Iced Peach Ade",Refreshing Drinks,PREMIUM,REGULAR,DRINK,209,3344,16,7,3
"Tarik Passionfruit Cooler",Refreshing Drinks,PREMIUM,REGULAR,DRINK,164,3263.6,19.9,8,1
"Sweet Peach Tea Sparkler",Refreshing Drinks,PREMIUM,REGULAR,DRINK,168,3208.8,19.1,9,1
"Boba Hazelnut Cappuccino",Refreshing Drinks,PREMIUM,REGULAR,DRINK,199,2845.7,14.3,10,4
"Gelato Caramel Frappe",Refreshing Drinks,PREMIUM,REGULAR,DRINK,172,2631.6,15.3,11,4
"Warisan Air Jagung Madu",Refreshing Drinks,PREMIUM,REGULAR,DRINK,146,2452.8,16.8,12,2
"Boba Passionfruit Cooler",Refreshing Drinks,PREMIUM,REGULAR,DRINK,133,2433.9,18.3,13,1
"Boba Americano",Refreshing Drinks,PREMIUM,REGULAR,DRINK,160,2224,13.9,14,4
"Urban Iced Chocolate",Refreshing Drinks,PREMIUM,REGULAR,DRINK,125,2100,16.8,15,2
"Wok Plum Lime Cooler",Refreshing Drinks,PREMIUM,REGULAR,DRINK,131,2096,16,16,3
"Seoul Iced Peach Ade",Refreshing Drinks,PREMIUM,REGULAR,DRINK,113,1988.8,17.6,17,1
"Boba Classic Milk Tea",Refreshing Drinks,PREMIUM,REGULAR,DRINK,121,1948.1,16.1,18,3
"Tokyo Hojicha Milk Tea",Refreshing Drinks,PREMIUM,REGULAR,DRINK,102,1876.8,18.4,19,1
"Tarik Classic Milk Tea",Refreshing Drinks,PREMIUM,REGULAR,DRINK,129,1870.5,14.5,20,4
"Mori Hojicha Milk Tea",Refreshing Drinks,PREMIUM,REGULAR,DRINK,104,1747.2,16.8,21,2
"Quick Lemon Tea Cooler",Refreshing Drinks,PREMIUM,REGULAR,DRINK,102,1632,16,22,3
"DimSum Plum Lime Cooler",Refreshing Drinks,PREMIUM,REGULAR,DRINK,78,1372.8,17.6,23,2
"Siam Coconut Shake",Refreshing Drinks,PREMIUM,REGULAR,DRINK,76,1337.6,17.6,24,2
"Sprint Lemon Tea Cooler",Refreshing Drinks,PREMIUM,REGULAR,DRINK,70,1232,17.6,25,2
"Tarik Hazelnut Cappuccino",Refreshing Drinks,PREMIUM,REGULAR,DRINK,76,1208.4,15.9,26,3
"Sweet Caramel Frappe",Refreshing Drinks,PREMIUM,REGULAR,DRINK,50,845,16.9,27,2
"Tarik Americano",Refreshing Drinks,PREMIUM,REGULAR,DRINK,47,578.1,12.3,28,4
"Tarik Caramel Latte",Refreshing Drinks,PREMIUM,REGULAR,DRINK,39,549.9,14.1,29,4
"Boba Caramel Latte",Refreshing Drinks,PREMIUM,REGULAR,DRINK,31,387.5,12.5,30,4
