
Session altered.

pv_quarter,item_category,meal_tier,deal_flag,item_type,qty_sold,revenue,avg_unit_price
2016-Q1,Brewed Tea,PREMIUM,REGULAR,DRINK,2,30,15
2016-Q1,Chicken Specials,PREMIUM,REGULAR,FOOD,1,15.6,15.6
2016-Q1,Hot Coffee,PREMIUM,ON DEAL,DRINK,12,195.2,16.27
2016-Q1,Refreshing Drinks,PREMIUM,REGULAR,DRINK,5,84,16.8
2016-Q1,Seafood Specials,PREMIUM,REGULAR,FOOD,9,182.8,20.31
2016-Q1,Signature Rice,BUDGET,ON DEAL,FOOD,3,39,13
2016-Q1,Signature Rice,PREMIUM,ON DEAL,FOOD,9,142.2,15.8
2016-Q1,Snacks and Sides,BUDGET,REGULAR,FOOD,15,138.2,9.21
2016-Q2,Brewed Tea,PREMIUM,REGULAR,DRINK,6,104.4,17.4
2016-Q2,Hot Coffee,PREMIUM,ON DEAL,DRINK,8,124,15.5
2016-Q2,Noodles,PREMIUM,ON DEAL,FOOD,4,60,15
2016-Q2,Noodles,PREMIUM,REGULAR,FOOD,5,74,14.8
2016-Q2,Refreshing Drinks,PREMIUM,REGULAR,DRINK,12,198.4,16.53
2016-Q2,Seafood Specials,PREMIUM,REGULAR,FOOD,10,193.6,19.36
2016-Q2,Signature Rice,BUDGET,ON DEAL,FOOD,1,15.4,15.4
2016-Q2,Signature Rice,PREMIUM,ON DEAL,FOOD,3,53.4,17.8
2016-Q2,Snacks and Sides,BUDGET,REGULAR,FOOD,16,159.6,9.98
2016-Q3,Brewed Tea,PREMIUM,REGULAR,DRINK,7,116.2,16.6
2016-Q3,Burgers and Wraps,PREMIUM,REGULAR,FOOD,1,19.6,19.6
2016-Q3,Hot Coffee,PREMIUM,ON DEAL,DRINK,7,105.2,15.03
2016-Q3,Noodles,PREMIUM,ON DEAL,FOOD,1,15,15
2016-Q3,Refreshing Drinks,PREMIUM,REGULAR,DRINK,18,313.8,17.43
2016-Q3,Seafood Specials,PREMIUM,REGULAR,FOOD,6,112.6,18.77
2016-Q3,Signature Rice,BUDGET,ON DEAL,FOOD,5,73,14.6
2016-Q3,Signature Rice,PREMIUM,ON DEAL,FOOD,12,192.8,16.07
2016-Q3,Snacks and Sides,BUDGET,REGULAR,FOOD,11,96.6,8.78
2016-Q4,Brewed Tea,PREMIUM,REGULAR,DRINK,5,81.2,16.24
2016-Q4,Burgers and Wraps,PREMIUM,REGULAR,FOOD,5,103.2,20.64
2016-Q4,Hot Coffee,PREMIUM,ON DEAL,DRINK,20,299.8,14.99
2016-Q4,Noodles,PREMIUM,ON DEAL,FOOD,2,35.6,17.8
2016-Q4,Noodles,PREMIUM,REGULAR,FOOD,3,52.8,17.6
2016-Q4,Refreshing Drinks,PREMIUM,REGULAR,DRINK,17,294.2,17.31
2016-Q4,Seafood Specials,PREMIUM,REGULAR,FOOD,13,247.4,19.03
2016-Q4,Signature Rice,BUDGET,ON DEAL,FOOD,2,30,15
2016-Q4,Signature Rice,PREMIUM,ON DEAL,FOOD,9,144.8,16.09
2016-Q4,Snacks and Sides,BUDGET,REGULAR,FOOD,21,233,11.1
2017-Q1,Brewed Tea,PREMIUM,REGULAR,DRINK,29,483.8,16.68
2017-Q1,Burgers and Wraps,PREMIUM,REGULAR,FOOD,2,41.6,20.8
2017-Q1,Chicken Specials,PREMIUM,REGULAR,FOOD,6,92.4,15.4
2017-Q1,Desserts,PREMIUM,REGULAR,FOOD,4,67.2,16.8
2017-Q1,Hot Coffee,PREMIUM,ON DEAL,DRINK,13,200.3,15.41
2017-Q1,Noodles,PREMIUM,ON DEAL,FOOD,4,64.4,16.1
2017-Q1,Noodles,PREMIUM,REGULAR,FOOD,7,108.4,15.49
2017-Q1,Refreshing Drinks,PREMIUM,REGULAR,DRINK,20,348.6,17.43
2017-Q1,Seafood Specials,PREMIUM,REGULAR,FOOD,21,415.6,19.79
2017-Q1,Signature Rice,BUDGET,ON DEAL,FOOD,16,237.8,14.86
2017-Q1,Signature Rice,PREMIUM,ON DEAL,FOOD,4,68.8,17.2
2017-Q1,Snacks and Sides,BUDGET,REGULAR,FOOD,31,301,9.71
2017-Q2,Brewed Tea,PREMIUM,REGULAR,DRINK,21,342.6,16.31
2017-Q2,Burgers and Wraps,PREMIUM,REGULAR,FOOD,5,103.6,20.72
2017-Q2,Chicken Specials,PREMIUM,REGULAR,FOOD,8,119,14.88
2017-Q2,Hot Coffee,PREMIUM,ON DEAL,DRINK,16,248.6,15.54
2017-Q2,Noodles,PREMIUM,ON DEAL,FOOD,3,49.8,16.6
2017-Q2,Noodles,PREMIUM,REGULAR,FOOD,2,29.6,14.8
2017-Q2,Refreshing Drinks,PREMIUM,REGULAR,DRINK,23,388.4,16.89
2017-Q2,Seafood Specials,PREMIUM,REGULAR,FOOD,17,329.4,19.38
2017-Q2,Signature Rice,BUDGET,ON DEAL,FOOD,18,251.8,13.99
2017-Q2,Signature Rice,PREMIUM,ON DEAL,FOOD,23,385.2,16.75
2017-Q2,Snacks and Sides,BUDGET,REGULAR,FOOD,32,319.6,9.99
2017-Q3,Brewed Tea,PREMIUM,REGULAR,DRINK,29,470.5,16.22
2017-Q3,Burgers and Wraps,PREMIUM,REGULAR,FOOD,4,84,21
