pv_quarter,voucher_type,day_flag,order_count,discount_given,gross_revenue,roi_multiple
2016-Q1,FIXED,HOLIDAY,3,13,524.3,40.33
2016-Q1,FIXED,REGULAR,1,0,127.4,
2016-Q1,PERCENT,HOLIDAY,1,15.57,97.83,6.28
2016-Q1,PERCENT,REGULAR,1,13.83,87.37,6.32
2016-Q2,FIXED,REGULAR,4,13,516.3,39.72
2016-Q2,FREE_DELIVERY,REGULAR,2,7.8,143,18.33
2016-Q2,PERCENT,REGULAR,2,13.02,347.98,26.73
2016-Q3,FIXED,HOLIDAY,2,0,247.9,
2016-Q3,FIXED,REGULAR,4,13,371.4,28.57
2016-Q3,FREE_DELIVERY,HOLIDAY,1,7.7,133,17.27
2016-Q3,FREE_DELIVERY,REGULAR,1,8.4,122.2,14.55
2016-Q3,PERCENT,HOLIDAY,1,11.02,106.98,9.71
2016-Q3,PERCENT,REGULAR,1,12.72,78.68,6.19
2016-Q4,FIXED,REGULAR,8,16,675.1,42.19
2016-Q4,FREE_DELIVERY,REGULAR,3,16.9,325.7,19.27
2016-Q4,PERCENT,REGULAR,4,57.82,502.88,8.7
2017-Q1,FIXED,REGULAR,16,26,1750.3,67.32
2017-Q1,FREE_DELIVERY,REGULAR,3,16.3,306.5,18.8
2017-Q1,PERCENT,REGULAR,3,57.7,393.5,6.82
2017-Q2,FIXED,REGULAR,14,37,1514.8,40.94
2017-Q2,FREE_DELIVERY,REGULAR,4,25,359.9,14.4
2017-Q2,PERCENT,REGULAR,7,86.62,721.68,8.33
2017-Q3,FIXED,REGULAR,18,65,1944.1,29.91
2017-Q3,FREE_DELIVERY,REGULAR,5,23.1,450.4,19.5
2017-Q3,PERCENT,REGULAR,5,96.29,651.71,6.77
2017-Q4,FIXED,REGULAR,22,52,2408.5,46.32
2017-Q4,FREE_DELIVERY,REGULAR,3,16.4,343.7,20.96
2017-Q4,PERCENT,REGULAR,7,96.14,765.16,7.96
2018-Q1,FIXED,HOLIDAY,2,0,181.8,
2018-Q1,FIXED,REGULAR,22,60,2496.7,41.61
2018-Q1,FREE_DELIVERY,HOLIDAY,1,7.3,83.3,11.41
2018-Q1,FREE_DELIVERY,REGULAR,7,43.4,798.5,18.4
2018-Q1,PERCENT,REGULAR,8,110.69,791.51,7.15
2018-Q2,FIXED,REGULAR,28,71,3282.3,46.23
2018-Q2,FREE_DELIVERY,REGULAR,4,23.2,401.8,17.32
2018-Q2,PERCENT,REGULAR,9,109.53,800.37,7.31
2018-Q3,FIXED,HOLIDAY,1,8,58.5,7.31
2018-Q3,FIXED,REGULAR,27,78,3063,39.27
2018-Q3,FREE_DELIVERY,REGULAR,9,40.4,763.6,18.9
2018-Q3,PERCENT,REGULAR,11,168.65,1178.05,6.99
2018-Q4,FIXED,REGULAR,34,73,3784,51.84
2018-Q4,FREE_DELIVERY,REGULAR,6,14.9,610,40.94
2018-Q4,PERCENT,REGULAR,12,174.88,1355.02,7.75
2019-Q1,FIXED,REGULAR,35,81,3954.9,48.83
2019-Q1,FREE_DELIVERY,HOLIDAY,1,6.9,76.1,11.03
2019-Q1,FREE_DELIVERY,REGULAR,10,57.2,1255.2,21.94
2019-Q1,PERCENT,REGULAR,11,138.52,961.48,6.94
2019-Q2,FIXED,REGULAR,34,120,3623.2,30.19
2019-Q2,FREE_DELIVERY,REGULAR,10,64.3,1053.5,16.38
2019-Q2,PERCENT,REGULAR,14,212.76,1710.54,8.04
2019-Q3,FIXED,REGULAR,44,91,4958.4,54.49
2019-Q3,FREE_DELIVERY,REGULAR,11,48.7,1215.1,24.95
2019-Q3,PERCENT,REGULAR,14,156.7,1362,8.69
2019-Q4,FIXED,REGULAR,42,120,4447.8,37.07
2019-Q4,FREE_DELIVERY,REGULAR,9,31.4,858.2,27.33
2019-Q4,PERCENT,REGULAR,15,188.01,1778.19,9.46
2020-Q1,FIXED,REGULAR,48,123,5394.8,43.86
2020-Q1,FREE_DELIVERY,REGULAR,11,55.3,1207.8,21.84
2020-Q1,PERCENT,REGULAR,20,299.45,2315.25,7.73
2020-Q2,FIXED,REGULAR,48,128,5335.6,41.68
2020-Q2,FREE_DELIVERY,REGULAR,13,78,1364.9,17.5
2020-Q2,PERCENT,REGULAR,14,177.78,1308.82,7.36
2020-Q3,FIXED,REGULAR,54,130,6323.6,48.64
2020-Q3,FREE_DELIVERY,REGULAR,13,62.3,1222.4,19.62
2020-Q3,PERCENT,REGULAR,19,214.13,1823.77,8.52
2020-Q4,FIXED,REGULAR,53,130,5702.7,43.87
2020-Q4,FREE_DELIVERY,REGULAR,13,71.7,1558.9,21.74
2020-Q4,PERCENT,REGULAR,21,323.05,2353.75,7.29
2021-Q1,FIXED,REGULAR,56,168,5876.3,34.98
2021-Q1,FREE_DELIVERY,REGULAR,13,63.4,1237,19.51
2021-Q1,PERCENT,REGULAR,20,326.7,2217.6,6.79
2021-Q2,FIXED,HOLIDAY,1,0,111.3,
2021-Q2,FIXED,REGULAR,60,162,6907.6,42.64
2021-Q2,FREE_DELIVERY,REGULAR,16,71.3,1580.4,22.17
2021-Q2,PERCENT,REGULAR,20,250.6,2115.3,8.44
2021-Q3,FIXED,HOLIDAY,1,5,149.5,29.9
2021-Q3,FIXED,REGULAR,64,146,7333.2,50.23
2021-Q3,FREE_DELIVERY,HOLIDAY,1,7.9,67.3,8.52
2021-Q3,FREE_DELIVERY,REGULAR,14,63.8,1446.2,22.67
2021-Q3,PERCENT,HOLIDAY,1,10.71,60.69,5.67
2021-Q3,PERCENT,REGULAR,20,301.23,2210.97,7.34
2021-Q4,FIXED,REGULAR,63,159,7442.1,46.81
2021-Q4,FREE_DELIVERY,REGULAR,18,97.2,1751.7,18.02
2021-Q4,PERCENT,REGULAR,26,337.78,2570.82,7.61
2022-Q1,FIXED,HOLIDAY,2,13,110.2,8.48
2022-Q1,FIXED,REGULAR,66,159,7915.7,49.78
2022-Q1,FREE_DELIVERY,REGULAR,17,73.4,1538.2,20.96
2022-Q1,PERCENT,REGULAR,25,357.86,2772.54,7.75
2022-Q2,FIXED,HOLIDAY,1,0,57.4,
2022-Q2,FIXED,REGULAR,73,183,7963.4,43.52
2022-Q2,FREE_DELIVERY,HOLIDAY,1,8,158.4,19.8
2022-Q2,FREE_DELIVERY,REGULAR,15,85.9,1615.5,18.81
2022-Q2,PERCENT,HOLIDAY,3,36.87,372.93,10.11
2022-Q2,PERCENT,REGULAR,21,312.49,2279.51,7.29
2022-Q3,FIXED,HOLIDAY,1,0,110.8,
2022-Q3,FIXED,REGULAR,71,196,8502.2,43.38
2022-Q3,FREE_DELIVERY,REGULAR,19,78.7,1948.9,24.76
2022-Q3,PERCENT,HOLIDAY,1,21.36,130.14,6.09
2022-Q3,PERCENT,REGULAR,27,383.86,2785.44,7.26
2022-Q4,FIXED,HOLIDAY,2,0,111.8,
2022-Q4,FIXED,REGULAR,77,177,9114.7,51.5
2022-Q4,FREE_DELIVERY,HOLIDAY,1,8.2,118.3,14.43
2022-Q4,FREE_DELIVERY,REGULAR,17,81,1594.6,19.69
2022-Q4,PERCENT,HOLIDAY,1,13.42,120.78,9
2022-Q4,PERCENT,REGULAR,28,387.37,2987.33,7.71
2023-Q1,FIXED,HOLIDAY,1,8,99.6,12.45
2023-Q1,FIXED,REGULAR,76,214,8354.3,39.04
2023-Q1,FREE_DELIVERY,REGULAR,20,106.5,2481.8,23.3
2023-Q1,PERCENT,REGULAR,26,290.27,2284.03,7.87
2023-Q2,FIXED,REGULAR,81,201,9273,46.13
2023-Q2,FREE_DELIVERY,HOLIDAY,1,0,17.6,
2023-Q2,FREE_DELIVERY,REGULAR,22,95.3,2310.5,24.24
2023-Q2,PERCENT,REGULAR,30,460.84,3220.36,6.99
2023-Q3,FIXED,HOLIDAY,1,0,127.8,
2023-Q3,FIXED,REGULAR,87,217,9593,44.21
2023-Q3,FREE_DELIVERY,HOLIDAY,1,8.2,201.9,24.62
2023-Q3,FREE_DELIVERY,REGULAR,18,100.6,1733.1,17.23
2023-Q3,PERCENT,REGULAR,30,391.19,3182.91,8.14
2023-Q4,FIXED,HOLIDAY,1,8,187.4,23.43
2023-Q4,FIXED,REGULAR,89,229,10443.9,45.61
2023-Q4,FREE_DELIVERY,REGULAR,21,103.8,2010.5,19.37
2023-Q4,PERCENT,REGULAR,32,415.31,2991.19,7.2
2024-Q1,FIXED,HOLIDAY,1,8,113.4,14.18
2024-Q1,FIXED,REGULAR,90,248,9878.4,39.83
2024-Q1,FREE_DELIVERY,REGULAR,22,136.5,2653.3,19.44
2024-Q1,PERCENT,HOLIDAY,1,17.13,105.07,6.13
2024-Q1,PERCENT,REGULAR,33,425.84,3460.16,8.13
2024-Q2,FIXED,HOLIDAY,1,0,192,
2024-Q2,FIXED,REGULAR,91,238,10304,43.29
2024-Q2,FREE_DELIVERY,REGULAR,23,138.3,2261.3,16.35
2024-Q2,PERCENT,REGULAR,35,533.08,3944.12,7.4
2024-Q3,FIXED,HOLIDAY,1,0,137.9,
2024-Q3,FIXED,REGULAR,99,266,10847.9,40.78
2024-Q3,FREE_DELIVERY,REGULAR,23,111.4,2454.2,22.03
