member_id,member_type,member_status,cohort_year,registration_date,last_order_date,recency_days,total_orders,total_revenue,avg_order_value,risk_tier,churn_score
30,VIP,DEACTIVATED,2017,2017-07-30,2026-06-23,27,62,6857.51,29.95,"Churned",10
60,VIP,DEACTIVATED,2020,2020-03-29,2026-06-12,38,30,2685.76,28.57,"Churned",10
100,NORMAL,DEACTIVATED,2025,2025-04-11,N/A,465,0,0,0,"Churned",10
99,NORMAL,ACTIVE,2025,2025-04-04,N/A,472,0,0,0,"Critical",9
98,NORMAL,ACTIVE,2025,2025-03-28,N/A,479,0,0,0,"Critical",9
58,NORMAL,SUSPENDED,2020,2020-03-07,2026-05-05,76,35,5488.29,50.35,"Suspended",8.5
29,NORMAL,SUSPENDED,2017,2017-07-11,2026-06-18,32,51,5039.57,29.64,"Suspended",8.5
27,NORMAL,SUSPENDED,2017,2017-06-03,2026-07-05,15,62,4072.31,24.53,"Suspended",8.5
73,NORMAL,SUSPENDED,2022,2022-06-04,2026-05-14,67,23,3755.73,46.95,"Suspended",8.5
89,NORMAL,SUSPENDED,2023,2023-03-15,2026-07-10,10,11,1164.95,29.12,"Suspended",8.5
91,NORMAL,ACTIVE,2025,2025-02-07,2026-05-17,64,11,1042.02,26.05,"Medium",1.2
43,NORMAL,ACTIVE,2018,2018-07-30,2026-04-25,86,50,7641.74,46.31,"Medium",1.1
28,NORMAL,ACTIVE,2017,2017-06-22,2026-05-01,80,39,6694.88,48.87,"Medium",1.1
19,NORMAL,ACTIVE,2017,2017-01-02,2026-04-22,89,53,5162.95,29.67,"Medium",1.1
10,VIP,ACTIVE,2016,2016-06-19,2026-04-29,82,47,5060.49,28.75,"Medium",1.1
40,VIP,ACTIVE,2018,2018-06-21,2026-05-02,79,47,4825.75,29.61,"Medium",1.1
16,NORMAL,ACTIVE,2017,2017-11-01,2026-04-29,82,51,4823.17,29.59,"Medium",1.1
46,NORMAL,ACTIVE,2019,2019-10-27,2026-05-03,78,42,4438.45,29.59,"Medium",1.1
55,VIP,ACTIVE,2020,2020-02-03,2026-05-12,69,44,4397.76,28.37,"Medium",1.1
52,NORMAL,ACTIVE,2020,2020-01-01,2026-05-04,77,41,4052.15,30.24,"Medium",1.1
