cohort_year,member_type,member_status,risk_tier,member_count,avg_recency_days,total_orders,total_revenue,revenue_at_risk,avg_churn_score
2016,VIP,ACTIVE,"Medium",1,82,47,5060.49,2277.22,1.1
2016,VIP,ACTIVE,"Low",1,46,79,8674.25,1301.14,1
2016,VIP,ACTIVE,"Healthy",3,18,160,20857.99,0,1
2016,NORMAL,ACTIVE,"Low",5,50.6,386,41092.92,6163.94,1
2016,NORMAL,ACTIVE,"Healthy",5,15,254,27042.03,0,1
2017,VIP,ACTIVE,"Low",2,46,135,14215.06,2132.26,1
2017,VIP,ACTIVE,"Healthy",1,26,59,6834.2,0,1
2017,VIP,DEACTIVATED,"Churned",1,27,62,6857.51,6857.51,10
2017,NORMAL,ACTIVE,"Medium",3,83.7,143,16681,7506.45,1.1
2017,NORMAL,ACTIVE,"Low",3,37.7,193,25125.21,3768.78,1
2017,NORMAL,ACTIVE,"Healthy",3,13.7,141,12972.18,0,1
2017,NORMAL,SUSPENDED,"Suspended",2,23.5,113,9111.88,8200.69,8.5
2018,VIP,ACTIVE,"Medium",1,79,47,4825.75,2171.59,1.1
2018,NORMAL,ACTIVE,"Medium",1,86,50,7641.74,3438.78,1.1
2018,NORMAL,ACTIVE,"Healthy",5,10.4,276,27592.38,0,1
2019,VIP,ACTIVE,"Healthy",3,10.7,124,15726.97,0,1
2019,NORMAL,ACTIVE,"Medium",2,82,80,6980.37,3141.17,1.1
2019,NORMAL,ACTIVE,"Low",2,48,92,9140.7,1371.11,1
2019,NORMAL,ACTIVE,"Healthy",7,16,358,40654.27,0,1
2020,VIP,ACTIVE,"Medium",1,69,44,4397.76,1978.99,1.1
2020,VIP,DEACTIVATED,"Churned",1,38,30,2685.76,2685.76,10
2020,NORMAL,ACTIVE,"Medium",1,77,41,4052.15,1823.47,1.1
2020,NORMAL,ACTIVE,"Low",2,45.5,72,5859.29,878.89,1.05
2020,NORMAL,ACTIVE,"Healthy",3,16.7,108,12018.05,0,1
2020,NORMAL,SUSPENDED,"Suspended",1,76,35,5488.29,4939.46,8.5
2021,VIP,ACTIVE,"Healthy",1,13,34,3934.48,0,1
2021,NORMAL,ACTIVE,"Medium",1,75,31,3462.77,1558.25,1.1
2021,NORMAL,ACTIVE,"Low",3,43.3,99,11121.09,1668.16,1
2021,NORMAL,ACTIVE,"Healthy",1,21,30,3400.75,0,1
2022,VIP,ACTIVE,"Low",1,38,38,4375.09,656.26,1
2022,NORMAL,ACTIVE,"Medium",1,68,35,2147.13,966.21,1.1
2022,NORMAL,ACTIVE,"Low",3,39.7,78,6933.7,1040.06,1.07
2022,NORMAL,ACTIVE,"Healthy",3,17,81,9929.08,0,1
2022,NORMAL,SUSPENDED,"Suspended",1,67,23,3755.73,3380.16,8.5
2023,VIP,ACTIVE,"Medium",1,65,24,2728.63,1227.88,1.1
2023,NORMAL,ACTIVE,"Medium",1,74,24,2180.26,981.12,1.1
2023,NORMAL,ACTIVE,"Low",2,34,38,6035.7,905.36,1.05
2023,NORMAL,ACTIVE,"Healthy",3,13.7,76,5914.56,0,1
2023,NORMAL,SUSPENDED,"Suspended",1,10,11,1164.95,1048.46,8.5
2024,VIP,ACTIVE,"Healthy",1,4,22,2033.95,0,1
2024,NORMAL,ACTIVE,"Medium",2,69.5,49,4690.17,2110.58,1.1
2024,NORMAL,ACTIVE,"Low",3,38.3,70,8620.67,1293.1,1.07
2024,NORMAL,ACTIVE,"Healthy",1,11,27,3712.97,0,1
2025,VIP,ACTIVE,"Healthy",1,9,13,1324.56,0,1
2025,NORMAL,ACTIVE,"Critical",2,475.5,0,0,0,9
2025,NORMAL,ACTIVE,"Medium",1,64,11,1042.02,468.91,1.2
2025,NORMAL,ACTIVE,"Low",1,56,11,1166.55,174.98,1.2
2025,NORMAL,ACTIVE,"Healthy",4,20.3,46,4426.17,0,1.08
2025,NORMAL,DEACTIVATED,"Churned",1,465,0,0,0,10
