cohort_year,member_type,restaurant_cat,order_count,total_revenue,avg_order_value
2016,NORMAL,"Beverage House",22,2286.2,103.92
2016,NORMAL,"Chinese Cuisine",77,6694.53,86.94
2016,NORMAL,"Dessert Cafe",69,6596.15,95.6
2016,NORMAL,"Fast Food Express",84,9323.56,110.99
2016,NORMAL,"Indian Cuisine",88,11295.84,128.36
2016,NORMAL,"Japanese Bento",63,7722.98,122.59
2016,NORMAL,"Korean Street Food",59,5511.77,93.42
2016,NORMAL,"Malay Cuisine",59,5881.07,99.68
2016,NORMAL,"Thai Kitchen",67,6926.17,103.38
2016,NORMAL,"Western Grill",52,5896.68,113.4
2016,VIP,"Beverage House",40,4839,120.98
2016,VIP,"Chinese Cuisine",27,2479.88,91.85
2016,VIP,"Dessert Cafe",15,1759.3,117.29
2016,VIP,"Fast Food Express",17,1950.22,114.72
2016,VIP,"Indian Cuisine",21,2844.99,135.48
2016,VIP,"Japanese Bento",23,3830.68,166.55
2016,VIP,"Korean Street Food",55,6361.59,115.67
2016,VIP,"Malay Cuisine",33,4662.24,141.28
2016,VIP,"Thai Kitchen",25,2216.04,88.64
2016,VIP,"Western Grill",30,3648.79,121.63
2017,NORMAL,"Beverage House",25,2975,119
2017,NORMAL,"Chinese Cuisine",63,5550.06,88.1
2017,NORMAL,"Dessert Cafe",69,5915.02,85.72
2017,NORMAL,"Fast Food Express",71,6818.83,96.04
2017,NORMAL,"Indian Cuisine",74,9537.8,128.89
2017,NORMAL,"Japanese Bento",74,11200.55,151.36
2017,NORMAL,"Korean Street Food",53,5132.77,96.84
2017,NORMAL,"Malay Cuisine",57,5526.06,96.95
2017,NORMAL,"Thai Kitchen",60,6026.66,100.44
2017,NORMAL,"Western Grill",44,5207.52,118.35
2017,VIP,"Beverage House",45,4792.7,106.5
2017,VIP,"Chinese Cuisine",28,1963.86,70.14
2017,VIP,"Dessert Cafe",6,724.7,120.78
2017,VIP,"Fast Food Express",7,807.16,115.31
2017,VIP,"Indian Cuisine",12,1116.91,93.08
2017,VIP,"Japanese Bento",14,1743.36,124.53
2017,VIP,"Korean Street Food",39,4083,104.69
2017,VIP,"Malay Cuisine",35,4464.54,127.56
2017,VIP,"Thai Kitchen",29,3589.74,123.78
2017,VIP,"Western Grill",41,4620.8,112.7
2018,NORMAL,"Beverage House",29,3210,110.69
2018,NORMAL,"Chinese Cuisine",42,3582.71,85.3
