restaurant_name,category,halal_status,rating,location_area,yr_quarter,order_count,total_revenue,avg_order_value
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2016-Q2,1,103.6,103.6
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2016-Q3,4,487.88,121.97
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2017-Q1,1,96,96
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2017-Q2,1,79.5,79.5
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2017-Q4,1,79.5,79.5
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2018-Q1,5,829.3,165.86
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2018-Q2,2,222.4,111.2
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2018-Q3,1,79.6,79.6
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2018-Q4,1,119.6,119.6
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2019-Q1,6,881.2,146.87
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2019-Q2,2,223.2,111.6
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2019-Q3,5,823.6,164.72
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2019-Q4,2,214.8,107.4
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2020-Q1,2,185.2,92.6
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2020-Q2,7,928.2,132.6
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2020-Q3,2,154.3,77.15
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2020-Q4,6,819.08,136.51
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2021-Q1,7,945.64,135.09
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2021-Q2,2,154.1,77.05
